PORT PDP,ID Pheonix,Subystem/Purpose,Controller,Motor,Encoder
H0,00-LF,LeftFront,TalonFX,Falcon500,Integrated
H1,01-LR,LeftRear,TalonFX,Falcon500,Integrated
H2,02-LS,LeftShooter,TalonFX,Falcon500,Integrated
H3,03-KS,KickerShooter,TalonSRX,BAG,Quadrature
L4,04-LP,LowerPickup,TalonSRX,BAG,-
L5,05-AR,ArmRotate,TalonSRX,BAG,Quadrature
L6,,,,,
L7,,LimeLight,,,
L8,,,,,
L9,,,,,
L10,10-UP,UpperPickup,TalonSRX,BAG,-
L11,11-F,Feed,TalonSRX,BAG,-
H12,12-T,Turret,TalonSRX,BAG,Quadrature
H13,13-RS,RightShooter,TalonFX,Falcon500,Integrated
H14,14-RR,RightRear,TalonFX,Falcon500,Integrated
H15,15-RF,RightFront,TalonFX,Falcon500,Integrated
